,index,LCLid,Enabled At,Disabled At,Duration
659,0,2,12-10-2012 00:30,28-02-2014 00:00,503 days 23:30:00
4899,1,3,20-02-2012 13:00,28-02-2014 00:00,738 days 11:00:00
3327,2,4,08-05-2012 13:00,28-02-2014 00:00,660 days 11:00:00
2204,0,5,01-06-2012 10:30,28-02-2014 00:00,636 days 13:30:00
5070,3,6,30-01-2012 11:30,28-02-2014 00:00,759 days 12:30:00
970,4,7,24-09-2012 12:00,28-02-2014 00:00,521 days 12:00:00
1122,5,8,05-05-2012 09:00,30-10-2013 00:00,542 days 15:00:00
1015,6,9,20-09-2012 10:00,28-02-2014 00:00,525 days 14:00:00
966,7,10,24-09-2012 12:30,28-02-2014 00:00,521 days 11:30:00
485,8,11,22-10-2012 11:00,28-02-2014 00:00,493 days 13:00:00
842,9,12,02-10-2012 09:30,28-02-2014 00:00,513 days 14:30:00
1776,10,13,21-06-2012 07:30,28-02-2014 00:00,616 days 16:30:00
611,1,14,15-10-2012 11:30,28-02-2014 00:00,500 days 12:30:00
5454,2,15,06-12-2011 13:00,28-02-2014 00:00,814 days 11:00:00
232,11,16,06-12-2011 13:00,16-01-2013 00:00,406 days 11:00:00
5453,3,17,06-12-2011 15:30,28-02-2014 00:00,814 days 08:30:00
5452,12,18,07-12-2011 09:30,28-02-2014 00:00,813 days 14:30:00
5436,13,19,07-12-2011 15:00,28-02-2014 00:00,813 days 09:00:00
5451,14,20,07-12-2011 09:30,28-02-2014 00:00,813 days 14:30:00
5450,15,21,07-12-2011 10:00,28-02-2014 00:00,813 days 14:00:00
5449,16,22,07-12-2011 10:00,28-02-2014 00:00,813 days 14:00:00
5448,17,23,07-12-2011 10:30,28-02-2014 00:00,813 days 13:30:00
5446,18,24,07-12-2011 11:00,28-02-2014 00:00,813 days 13:00:00
5445,19,25,07-12-2011 11:00,28-02-2014 00:00,813 days 13:00:00
5447,20,26,07-12-2011 11:00,28-02-2014 00:00,813 days 13:00:00
5444,21,27,07-12-2011 11:30,28-02-2014 00:00,813 days 12:30:00
3703,22,28,07-12-2011 11:30,07-10-2013 00:00,669 days 12:30:00
5443,23,29,07-12-2011 11:30,28-02-2014 00:00,813 days 12:30:00
5442,24,30,07-12-2011 11:30,28-02-2014 00:00,813 days 12:30:00
5441,4,31,07-12-2011 12:00,28-02-2014 00:00,813 days 12:00:00
5440,25,32,07-12-2011 12:30,28-02-2014 00:00,813 days 11:30:00
5438,26,33,07-12-2011 13:00,28-02-2014 00:00,813 days 11:00:00
5439,27,34,07-12-2011 13:00,28-02-2014 00:00,813 days 11:00:00
5437,28,35,07-12-2011 13:00,28-02-2014 00:00,813 days 11:00:00
5435,29,36,07-12-2011 15:00,28-02-2014 00:00,813 days 09:00:00
5434,30,37,07-12-2011 16:00,28-02-2014 00:00,813 days 08:00:00
5433,31,38,08-12-2011 09:00,28-02-2014 00:00,812 days 15:00:00
5432,32,39,08-12-2011 10:00,28-02-2014 00:00,812 days 14:00:00
5431,33,40,08-12-2011 10:30,28-02-2014 00:00,812 days 13:30:00
5430,34,41,08-12-2011 10:30,28-02-2014 00:00,812 days 13:30:00
5428,35,42,08-12-2011 11:00,28-02-2014 00:00,812 days 13:00:00
5429,36,43,08-12-2011 11:00,28-02-2014 00:00,812 days 13:00:00
5427,5,44,08-12-2011 11:30,28-02-2014 00:00,812 days 12:30:00
5426,37,45,08-12-2011 11:30,28-02-2014 00:00,812 days 12:30:00
5425,6,46,08-12-2011 11:30,28-02-2014 00:00,812 days 12:30:00
5423,38,47,08-12-2011 12:30,28-02-2014 00:00,812 days 11:30:00
5424,7,48,08-12-2011 12:30,28-02-2014 00:00,812 days 11:30:00
5422,39,49,08-12-2011 14:00,28-02-2014 00:00,812 days 10:00:00
506,40,50,08-12-2011 14:00,17-04-2013 00:00,495 days 10:00:00
5421,8,51,08-12-2011 14:30,28-02-2014 00:00,812 days 09:30:00
5420,9,52,08-12-2011 15:00,28-02-2014 00:00,812 days 09:00:00
5418,41,53,09-12-2011 09:00,28-02-2014 00:00,811 days 15:00:00
